Test_ID,Phase,Epic,Module,Category,Method,Endpoint_Component,Test_Description,Preconditions,Input_Action,Expected_Output,Status
TC_P2_001,2,MI-1,Auth API,Positive,POST,/api/auth/login,Login with valid Super credentials,DB seeded with Super admin,{"email":"admin@mini-ims.local","password":"Admin@123"},200 - Returns accessToken + user object (id/first_name/last_name/email/role). Sets HTTP-only refreshToken cookie.,
TC_P2_002,2,MI-1,Auth API,Positive,POST,/api/auth/login,Login with valid Staff credentials,DB seeded with Staff admin,{"email":"staff@mini-ims.local","password":"Staff@123"},200 - Returns accessToken + user with role='Staff'. Sets refreshToken cookie.,
TC_P2_003,2,MI-1,Auth API,Negative,POST,/api/auth/login,Login with wrong password,Admin exists in DB,{"email":"admin@mini-ims.local","password":"wrongpass"},401 - Returns {success:false} with generic auth error. Does NOT reveal whether email exists.,
TC_P2_004,2,MI-1,Auth API,Negative,POST,/api/auth/login,Login with non-existent email,Admin table is seeded,{"email":"nobody@test.com","password":"anypass"},401 - Same generic error as wrong password (prevents user enumeration).,
TC_P2_005,2,MI-1,Auth API,Negative,POST,/api/auth/login,Login with suspended account,Admin exists with account_status=0,{"email":"admin@mini-ims.local","password":"Admin@123"},403 - Returns error indicating account is suspended.,
TC_P2_006,2,MI-1,Auth API,Negative,POST,/api/auth/login,Login with soft-deleted account,Admin exists with deleted=1,{"email":"deleted@mini-ims.local","password":"Deleted@123"},403 - Returns error indicating account is inactive.,
TC_P2_007,2,MI-1,Auth API,Negative,POST,/api/auth/login,Login with missing email field,None,{"password":"Admin@123"},400 - Validation error: email is required.,
TC_P2_008,2,MI-1,Auth API,Negative,POST,/api/auth/login,Login with missing password field,None,{"email":"admin@mini-ims.local"},400 - Validation error: password is required.,
TC_P2_009,2,MI-1,Auth API,Negative,POST,/api/auth/login,Login with invalid email format,None,{"email":"not-an-email","password":"Admin@123"},400 - Validation error: email must be a valid email address.,
TC_P2_010,2,MI-1,Auth API,Positive,POST,/api/auth/login,Login with email in uppercase (case-insensitive),Admin email stored as lowercase,{"email":"ADMIN@MINI-IMS.LOCAL","password":"Admin@123"},200 - Login succeeds (server lowercases email before lookup).,
TC_P2_011,2,MI-1,Auth API,Positive,POST,/api/auth/login,Verify last_login is updated on successful login,Admin exists,{"email":"admin@mini-ims.local","password":"Admin@123"},last_login column in admin table is updated to current timestamp.,
